I lost.|I lose.
I think your father hoped you would go to college.|I think your father hop you would go to college.
I thought she wouldn't notice that he wasn't here.|I thought she wouldn't notice that he ben't here.
I thought you'd been killed.|I thought you'd be killed.
I'm glad I was wrong.|I'm glad I be wrong.
I told her not to let go of the rope, but she did.|I told her not to let go of the rope, but she do.
I took it for granted that you would come with us.|I take it for granted that you would come with us.
I understand now why he didn't go to a university.|I understand now why he don't go to a university.
I want to keep doing this for as long as possible.|I want to keep do this for as long as possible.
I want to know when my baggage is going to arrive.|I want to know when my baggage be going to arrive.
I want to show you something I've been working on.|I want to show you something I've be working on.
I want you to know that I meant every word I said.|I want you to know that I meant every word I say.
I want you to say you're not going back to Boston.|I want you to say you're not go back to Boston.
I wanted to apologize for what happened yesterday.|I want to apologize for what happened yesterday.
I wanted to make sure we didn't cause the problem.|I want to make sure we didn't cause the problem.
I wanted you to understand what you're up against.|I want you to understand what you're up against.
I was ashamed of what I had done to my benefactor.|I be ashamed of what I had done to my benefactor.
I was just wondering what languages you can speak.|I be just wondering what languages you can speak.
I was so afraid that no one would ask me to dance.|I be so afraid that no one would ask me to dance.
I was watching television when the telephone rang.|I be watching television when the telephone rang.
I went on vacation, and my plants are still alive.|I go on vacation, and my plants are still alive.
I will see to it that everything is ready in time.|I will see to it that everything be ready in time.
I wish I could go with you, but as it is, I can't.|I wbeh I could go with you, but as it be, I can't.
I wonder what could have made him change his mind.|I wonder what could have make him change his mind.
I would have bought that car if I'd had the money.|I would have bought that car if I'd have the money.
I would never have guessed that Tom couldn't swim.|I would never have guess that Tom couldn't swim.
I would've never guessed that Tom was from Boston.|I would've never guess that Tom was from Boston.
I wrote a song about what happened here last year.|I write a song about what happened here last year.
I wrote down his phone number on a scrap of paper.|I write down his phone number on a scrap of paper.
I wrote him a letter asking him to come home soon.|I write him a letter asking him to come home soon.
I'll never forget having a good time with you all.|I'll never forget have a good time with you all.
I'm getting along with my mother-in-law very well.|I'm get along with my mother-in-law very well.
I'm getting pretty tired of driving every morning.|I'm get pretty tired of driving every morning.
I'm getting sick and tired of all your complaints.|I'm get sick and tired of all your complaints.
I'm going to lay aside that money for emergencies.|I'm go to lay aside that money for emergencies.
I'm going to wear these shoes on our date tonight.|I'm go to wear these shoes on our date tonight.
I'm not going to do anything you don't want me to.|I'm not go to do anything you don't want me to.
I'm not the least bit worried about losing my job.|I'm not the least bit worried about lose my job.
I'm sorry to say, but the service isn't very good.|I'm sorry to say, but the service ben't very good.
I've been looking for them for more than one hour.|I've be looking for them for more than one hour.
I've been waiting here for him since this morning.|I've be waiting here for him since this morning.
I've got to go to another dreary meeting tomorrow.|I've get to go to another dreary meeting tomorrow.
If I could, I would let every caged bird fly free.|If I could, I would let every cage bird fly free.
If he hadn't wasted time, he'd be finished by now.|If he haven't wasted time, he'd be finished by now.
If it were not for your help, I might have failed.|If it be not for your help, I might have failed.
If my brother were here, he would know what to do.|If my brother be here, he would know what to do.
If she had told me the truth, I wouldn't be angry.|If she have told me the truth, I wouldn't be angry.
If there was no sun, we would not be able to live.|If there be no sun, we would not be able to live.
If you're not listening to the radio, turn it off.|If you're not listen to the radio, turn it off.
In Singapore, it is a crime to spit on the ground.|In Singapore, it be a crime to spit on the ground.
In spite of the heavy traffic, we arrived on time.|In spite of the heavy traffic, we arrive on time.
Individual freedom is the foundation of democracy.|Individual freedom be the foundation of democracy.
Is this the first time you've eaten Japanese food?|Is this the first time you've eat Japanese food?
It is cheap, but on the other hand it is not good.|It be cheap, but on the other hand it be not good.
It is difficult to shoot a bird flying in the air.|It be difficult to shoot a bird flying in the air.
It is extremely hot and humid in Bali in December.|It be extremely hot and humid in Bali in December.
It is true that she is pretty, but she is selfish.|It be true that she be pretty, but she be selfbeh.
It is very careless of you to leave the door open.|It be very careless of you to leave the door open.
It isn't easy to understand why you want to leave.|It ben't easy to understand why you want to leave.
It looked like no one could stop President Reagan.|It look like no one could stop President Reagan.
It never occurred to him that she would get angry.|It never occur to him that she would get angry.
It never occurred to me that I might get arrested.|It never occur to me that I might get arrested.
It seems like the cat caught the scent of a mouse.|It seem like the cat caught the scent of a mouse.
It seems that you are not having a good time here.|It seem that you are not having a good time here.
It took a whole month to break in those new shoes.|It take a whole month to break in those new shoes.
It was a pity that Tom couldn't come to our party.|It be a pity that Tom couldn't come to our party.
It was at that very moment that the bomb went off.|It be at that very moment that the bomb went off.
It was mad of him to try to swim in the icy water.|It be mad of him to try to swim in the icy water.
It was nice of you to come all this way to see me.|It be nice of you to come all this way to see me.
It was raining heavily when I got up this morning.|It be raining heavily when I got up this morning.
It was raining when I got on the bus this morning.|It be raining when I got on the bus this morning.
It was very hard for her to suppress her emotions.|It be very hard for her to suppress her emotions.
It was wise of you to take your umbrella with you.|It be wise of you to take your umbrella with you.
It'll take some time to get used to wearing a wig.|It'll take some time to get use to wearing a wig.
It's been a long time since I've written anything.|It's be a long time since I've written anything.
It's said that nothing is more precious than time.|It's say that nothing is more precious than time.
It's supposed to rain every day for the next week.|It's suppose to rain every day for the next week.
It's thanks to his father that he owns this hotel.|It's thanks to his father that he own this hotel.
Japan today is not what it was even ten years ago.|Japan today be not what it was even ten years ago.
Jupiter is the largest planet in the Solar System.|Jupiter be the largest planet in the Solar System.
Just as I was about to go out, it started raining.|Just as I be about to go out, it started raining.
Loneliness and being alone are not the same thing.|Loneliness and be alone are not the same thing.
Many flights were canceled because of the typhoon.|Many flights be canceled because of the typhoon.
Many people encouraged me to fulfill my ambitions.|Many people encourage me to fulfill my ambitions.
Many people pushed their way toward the rear exit.|Many people push their way toward the rear exit.
Mary cut herself while she was chopping up onions.|Mary cut herself while she be chopping up onions.
Moral leadership is more powerful than any weapon.|Moral leadership be more powerful than any weapon.
Most French people are against capital punishment.|Most French people be against capital punishment.
My alarm clock didn't work.|My alarm clock don't work.
That's why I was late.|That's why I be late.
My big brother finished his homework very quickly.|My big brother finish his homework very quickly.
My brother was threatened by someone waving a gun.|My brother be threatened by someone waving a gun.
My brother went to the United States to study law.|My brother go to the United States to study law.
My father goes to Sydney twice a year on business.|My father go to Sydney twice a year on business.
My husband was probably drunk when he signed this.|My husband be probably drunk when he signed this.
My mother is constantly forgetting people's names.|My mother be constantly forgetting people's names.
My mother was so tired that she went to bed early.|My mother be so tired that she went to bed early.
My sister has made remarkable progress in English.|My sister have made remarkable progress in English.
My teeth are totally healthy and free of problems.|My teeth be totally healthy and free of problems.
My uncle lived in Washington, D. C. for two years.|My uncle live in Washington, D. C. for two years.
Napoleon was exiled to the island of Elba in 1814.|Napoleon be exiled to the island of Elba in 1814.
Nobody cares how much the dinner is going to cost.|Nobody cares how much the dinner be going to cost.
Now that you are an adult, you should know better.|Now that you be an adult, you should know better.
Once she starts talking, there is no stopping her.|Once she starts talk, there is no stopping her.
One of my favorite tunes was playing on the radio.|One of my favorite tunes be playing on the radio.
Our bike tour of the French Alps lasted two weeks.|Our bike tour of the French Alps last two weeks.
Our city is rather small in comparison with Tokyo.|Our city be rather small in comparbeon with Tokyo.
Our teacher often overlooked his name on the list.|Our teacher often overlook his name on the list.
Paris, which is on the Seine, is a beautiful city.|Parbe, which be on the Seine, be a beautiful city.
Pay attention to what others around you are doing.|Pay attention to what others around you be doing.
People are more educated now than they used to be.|People be more educated now than they used to be.
Playing Russian roulette isn't really a good idea.|Playing Russian roulette ben't really a good idea.
Please leave your message on my answering machine.|Please leave your message on my answer machine.
Plutonium-244 has a half-life of 80 million years.|Plutonium-244 have a half-life of 80 million years.
Racial profiling is a controversial police tactic.|Racial profile is a controversial police tactic.
Railroad service was suspended because of the fog.|Railroad service be suspended because of the fog.
Revolutions that don't succeed are soon forgotten.|Revolutions that don't succeed be soon forgotten.
She advised him not to go out by himself at night.|She advise him not to go out by himself at night.
She advised him to talk about his life in America.|She advise him to talk about his life in America.
She asked him to call her later, but he forgot to.|She ask him to call her later, but he forgot to.
She asked him to help her father clean the garage.|She ask him to help her father clean the garage.
She belted out tune after tune at the karaoke bar.|She belt out tune after tune at the karaoke bar.
She complained that the picture was too revealing.|She complain that the picture was too revealing.
She goes to the beauty salon at least once a week.|She go to the beauty salon at least once a week.
She got him to do everything she wanted him to do.|She get him to do everything she wanted him to do.
She had forgotten her umbrella so I lent her mine.|She have forgotten her umbrella so I lent her mine.
She helped her father with the work in the garden.|She help her father with the work in the garden.
She is going to visit her grandmother on Saturday.|She be going to vbeit her grandmother on Saturday.
She made up her mind to graduate from high school.|She make up her mind to graduate from high school.
She married him only because her parents made her.|She married him only because her parents make her.
She promised that she would meet him after school.|She promise that she would meet him after school.
She raised an important objection to his argument.|She raise an important objection to his argument.
She sat on the bed as her mother braided her hair.|She sat on the bed as her mother braid her hair.
She seems to have a tendency to exaggerate things.|She seem to have a tendency to exaggerate things.
She seems to have something to do with the affair.|She seem to have something to do with the affair.
She tasted the cake to see if it was sweet enough.|She taste the cake to see if it was sweet enough.
She taught French in Italy before moving to Paris.|She taught French in Italy before move to Paris.
She told him that she had seen me there last week.|She told him that she have seen me there last week.
She told me that her mother had bought it for her.|She told me that her mother have bought it for her.
She warned the children not to play on the street.|She warn the children not to play on the street.
She was indignant at the way she had been treated.|She be indignant at the way she had been treated.
She was looking forward to going sailing with him.|She be looking forward to going sailing with him.
She was looking forward to spending time with him.|She be looking forward to spending time with him.
She was playing the piano when the guests arrived.|She be playing the piano when the guests arrived.
She was ready to help him with cleaning the house.|She be ready to help him with cleaning the house.
She was standing on a ladder painting the ceiling.|She be standing on a ladder painting the ceiling.
She was the most beautiful woman he had ever seen.|She be the most beautiful woman he had ever seen.
She waved at me before she got on board the plane.|She wave at me before she got on board the plane.
She wished she had been born twenty years earlier.|She wish she had been born twenty years earlier.
She wrote to him to tell him how wonderful he was.|She write to him to tell him how wonderful he was.
Smoking is now prohibited on all domestic flights.|Smoking be now prohibited on all domestic flights.
Some birds are sitting on the branch of that tree.|Some birds be sitting on the branch of that tree.
Some kids broke into Tom's house and ransacked it.|Some kids broke into Tom's house and ransack it.
Some people are never content with what they have.|Some people be never content with what they have.
Some people say Japan is a male-dominated society.|Some people say Japan be a male-dominated society.
Somebody has to be held accountable for his death.|Somebody have to be held accountable for his death.
Sometimes trying your best just isn't good enough.|Sometimes try your best just isn't good enough.
Tell me why you were absent from school yesterday.|Tell me why you be absent from school yesterday.
Thanks to his advice, I have saved a lot of money.|Thanks to his advice, I have save a lot of money.
That dry-cleaning business is a front for the mob.|That dry-cleaning business be a front for the mob.
That house is the only one that survived the fire.|That house be the only one that survived the fire.
That is the same umbrella that I found on the bus.|That be the same umbrella that I found on the bus.
That last round of chemo really sapped his energy.|That last round of chemo really sap his energy.
That mountain is about three thousand meters high.|That mountain be about three thousand meters high.
That psychiatrist specialized in eating disorders.|That psychiatrist specialized in eat disorders.
That tower you see over there is the Eiffel Tower.|That tower you see over there be the Eiffel Tower.
The Coliseum was the former arena in ancient Rome.|The Coliseum be the former arena in ancient Rome.
The French president is to visit Japan next month.|The French president be to vbeit Japan next month.
The Kiso River is often called the Rhine of Japan.|The Kbeo River be often called the Rhine of Japan.
The accent of this word is on the second syllable.|The accent of thbe word be on the second syllable.
The actress said that she was engaged to a banker.|The actress say that she was engaged to a banker.
The architecture in this part of the city is ugly.|The architecture in thbe part of the city be ugly.
The assignment took me longer than I had expected.|The assignment take me longer than I had expected.
The big, yellow bus came hurtling down the street.|The big, yellow bus come hurtling down the street.
The bill was approved by an overwhelming majority.|The bill be approved by an overwhelming majority.
The boy who lives next door often comes home late.|The boy who lives next door often come home late.
The children watched TV as Tom was cooking dinner.|The children watch TV as Tom was cooking dinner.
The cloning of human embryos is prohibited by law.|The clone of human embryos is prohibited by law.
The company has unofficially decided to employ me.|The company have unofficially decided to employ me.
The conflict began over a simple misunderstanding.|The conflict begin over a simple misunderstanding.
The criticism of the actor's performance was just.|The criticism of the actor's performance be just.
The egg is a universal symbol of life and rebirth.|The egg be a universal symbol of life and rebirth.
The guitar is so expensive that I can't afford it.|The guitar be so expensive that I can't afford it.
The local coffee shop was replaced by a Starbucks.|The local coffee shop be replaced by a Starbucks.
The loss adds up to more than one million dollars.|The loss add up to more than one million dollars.
The mere thought of it is enough to make me happy.|The mere thought of it be enough to make me happy.
The monthly staff meeting is never held on Monday.|The monthly staff meeting be never held on Monday.
The mosque was torched in the middle of the night.|The mosque be torched in the middle of the night.
The news of the mayor's resignation traveled fast.|The news of the mayor's resignation travel fast.
The official dinner took place at the White House.|The official dinner take place at the White House.
The old man is always accompanied by his grandson.|The old man be always accompanied by hbe grandson.
The only thing that matters is that you are alive.|The only thing that matters be that you are alive.
The outdoor concert was canceled due to the storm.|The outdoor concert be canceled due to the storm.
The price is low, but the quality isn't very good.|The price be low, but the quality ben't very good.
The price of rice rose by more than three percent.|The price of rice rise by more than three percent.
The problem is that solar energy is too expensive.|The problem be that solar energy be too expensive.
The product is guaranteed to be free from defects.|The product be guaranteed to be free from defects.
The road up and the road down is one and the same.|The road up and the road down be one and the same.
The students divided themselves into three groups.|The students divide themselves into three groups.
The swimmer raised his head and gasped for breath.|The swimmer raise his head and gasped for breath.
The teacher has three times as many books as I do.|The teacher have three times as many books as I do.
The telephone is ringing, but nobody is answering.|The telephone be ringing, but nobody be answering.
The time has come for you to play your trump card.|The time have come for you to play your trump card.
The train had already left when we got to station.|The train have already left when we got to station.
The trip was canceled because of a terrible storm.|The trip be canceled because of a terrible storm.
The very idea of being sent abroad delighted them.|The very idea of be sent abroad delighted them.
The village in which he was born is far from here.|The village in which he be born is far from here.
The wedding ceremony was performed in the morning.|The wedding ceremony be performed in the morning.
The whale shark is the largest shark in the world.|The whale shark be the largest shark in the world.
The woman managed the drunk as if he were a child.|The woman manage the drunk as if he were a child.
The workmen arrived early, bringing their ladders.|The workmen arrive early, bringing their ladders.
There are about seven billion people in the world.|There be about seven billion people in the world.
There are certainly some points worth considering.|There be certainly some points worth considering.
There are thirty students in the beginner's group.|There be thirty students in the beginner's group.
There are times when I'd like to be more like you.|There be times when I'd like to be more like you.
There was a large audience at yesterday's concert.|There be a large audience at yesterday's concert.
There's no denying the harmful effects of smoking.|There's no deny the harmful effects of smoking.
These are the steps that lead straight to failure.|These be the steps that lead straight to failure.
These shoes are so tight that I can't put them on.|These shoes be so tight that I can't put them on.
They aren't children any more, but not adults yet.|They ben't children any more, but not adults yet.
They awarded her a gold metal for her achievement.|They award her a gold metal for her achievement.
They gave him both material and spiritual support.|They give him both material and spiritual support.
They had to find the strongest candidate possible.|They have to find the strongest candidate possible.
This is a lot more fun than I thought it would be.|The be a lot more fun than I thought it would be.
This is longer than any other bridge in the world.|The be longer than any other bridge in the world.
This is the dictionary I told you about yesterday.|The be the dictionary I told you about yesterday.
This is the man that I see every day on the train.|The be the man that I see every day on the train.
This is the very dictionary I've been looking for.|The be the very dictionary I've been looking for.
This mountain is covered with snow all year round.|The mountain be covered with snow all year round.
This piece of information is very important to us.|The piece of information be very important to us.
This theory is too difficult for me to comprehend.|The theory be too difficult for me to comprehend.
This vending machine takes only hundred-yen coins.|This vend machine takes only hundred-yen coins.
Tom and Mary never took their eyes off each other.|Tom and Mary never take their eyes off each other.
Tom asked Mary whether she planned to swim or not.|Tom ask Mary whether she planned to swim or not.
Tom asked me for more money than he really needed.|Tom ask me for more money than he really needed.
Tom asked me if I had a black tie he could borrow.|Tom ask me if I had a black tie he could borrow.
Tom began to suspect something wasn't quite right.|Tom begin to suspect something wasn't quite right.
Tom certainly had a lot of time to think about it.|Tom certainly have a lot of time to think about it.
Tom could barely hear what Mary was trying to say.|Tom could barely hear what Mary be trying to say.
Tom didn't commit the crimes he's been accused of.|Tom don't commit the crimes he's been accused of.
Tom didn't get home until after 2:30 this morning.|Tom don't get home until after 2:30 this morning.
Tom didn't pay me as much as he promised he would.|Tom don't pay me as much as he promised he would.
Tom doesn't believe a word of what Mary just said.|Tom don't believe a word of what Mary just said.
Tom doesn't brush his teeth as often as he should.|Tom don't brush his teeth as often as he should.
Tom had bruises all over his body after the fight.|Tom have bruises all over his body after the fight.
Tom had the only pool in town with a diving board.|Tom have the only pool in town with a diving board.
Tom helped his mother decorate the Christmas tree.|Tom help his mother decorate the Christmas tree.
Tom is living in a small apartment on Park Street.|Tom be living in a small apartment on Park Street.
Tom isn't really as rich as everyone thinks he is.|Tom ben't really as rich as everyone thinks he be.
Tom isn't really sick.|Tom ben't really sick.
He's just pretending to be.|He's just pretend to be.
Tom isn't the only one here that can speak French.|Tom ben't the only one here that can speak French.
Tom often eats popcorn when he's watching a movie.|Tom often eats popcorn when he's watch a movie.
Tom said he regretted not following Mary's advice.|Tom say he regretted not following Mary's advice.
Tom skipped dinner saying he was too tired to eat.|Tom skip dinner saying he was too tired to eat.
Tom usually gives easy-to-understand explanations.|Tom usually give easy-to-understand explanations.
Tom wanted Mary to stay at home with the children.|Tom want Mary to stay at home with the children.
Tom was apparently murdered while he was sleeping.|Tom be apparently murdered while he be sleeping.
Tom was obviously worried about what might happen.|Tom be obviously worried about what might happen.
Tom was stabbed to death by someone on the subway.|Tom be stabbed to death by someone on the subway.
Tom was there for me when I really needed someone.|Tom be there for me when I really needed someone.
Tom's injuries aren't considered life-threatening.|Tom's injuries ben't considered life-threatening.
Tom's parents got divorced when he was very young.|Tom's parents get divorced when he was very young.
Water freezes at zero degrees Celsius, doesn't it?|Water freezes at zero degrees Celsius, don't it?
We already have three events booked for next week.|We already have three events book for next week.
We are sorry we are unable to accept your request.|We be sorry we be unable to accept your request.
We came to the conclusion that he should be fired.|We come to the conclusion that he should be fired.
The roof is about to collapse!|The roof be about to collapse!
We had less snow this winter than we had expected.|We have less snow this winter than we have expected.
We had to gear our lives to the new circumstances.|We have to gear our lives to the new circumstances.
We were hoping something interesting would happen.|We be hoping something interesting would happen.
We were late for school because it rained heavily.|We be late for school because it rained heavily.
We were reading a book and it was a very good one.|We be reading a book and it was a very good one.
We've been through tougher times than this before.|We've be through tougher times than this before.
What are some foods you usually eat with red wine?|What be some foods you usually eat with red wine?
What did you think of the movies we saw yesterday?|What do you think of the movies we saw yesterday?
What is the main purpose of your studying English?|What be the main purpose of your studying Englbeh?
What is the poorest country in the European Union?|What be the poorest country in the European Union?
What movie was it that you told me I should watch?|What movie be it that you told me I should watch?
What time will the washing machine repairman come?|What time will the wash machine repairman come?
What was the first instrument you learned to play?|What be the first instrument you learned to play?
What you are is more important than what you have.|What you be is more important than what you have.
What's wrong with running around your house naked?|What's wrong with run around your house naked?
When I lived in Rome, I took the subway every day.|When I live in Rome, I took the subway every day.
When was the last time you went to an art gallery?|When be the last time you went to an art gallery?
When will that picture I wanted enlarged be ready?|When will that picture I want enlarged be ready?
Where is the boarding gate for Japan Airlines 124?|Where be the boarding gate for Japan Airlines 124?
Which is the most difficult language in the world?|Which be the most difficult language in the world?
Whoever gets home first starts cooking the supper.|Whoever get home first starts cooking the supper.
Why have the apes evolved more than other animals?|Why have the apes evolve more than other animals?
Will you entertain the guests while I get dressed?|Will you entertain the guests while I get dress?
Willingness to correct is an indication of wisdom.|Willingness to correct be an indication of wbedom.
Women are meant to be loved, not to be understood.|Women be meant to be loved, not to be understood.
Would you like to go camping with us next weekend?|Would you like to go camp with us next weekend?
Would you mind if I poured myself a cup of coffee?|Would you mind if I pour myself a cup of coffee?
Yesterday night, I shared a cab with Paris Hilton.|Yesterday night, I share a cab with Paris Hilton.
You are the kind of guitarist I like to sing with.|You be the kind of guitarist I like to sing with.
You are very fortunate that you have such friends.|You be very fortunate that you have such friends.
You aren't really going to join the army, are you?|You ben't really going to join the army, be you?
You can make your dream come true by working hard.|You can make your dream come true by work hard.
You can only come to China if you’ve got a visa.|You can only come to China if you’ve get a visa.
You have provided me with some very useful advice.|You have provide me with some very useful advice.
You look like somebody I went to high school with.|You look like somebody I go to high school with.
You need to stop ignoring email messages from Tom.|You need to stop ignore email messages from Tom.
You seem to want me to talk you out of doing that.|You seem to want me to talk you out of do that.
You should not have done it without my permission.|You should not have do it without my permission.
You shouldn't go around telling lies about people.|You shouldn't go around tell lies about people.
You shouldn't have said that kind of thing to him.|You shouldn't have say that kind of thing to him.
You were working yesterday afternoon, weren't you?|You be working yesterday afternoon, ben't you?
You would look stupid wearing your mother's dress.|You would look stupid wear your mother's dress.
You're never going to believe what happened today.|You're never go to believe what happened today.
You're the only person who ever comes to visit me.|You're the only person who ever come to visit me.
Your plan is a good one, but mine is a better one.|Your plan be a good one, but mine be a better one.
"You had better not wear the red dress.|"You have better not wear the red dress.
"  A few days ago, you didn't even want to talk to me.|"  A few days ago, you don't even want to talk to me.
A great deal of energy is locked up in the nucleus.|A great deal of energy be locked up in the nucleus.
A long spell of rainy weather is harmful to plants.|A long spell of rainy weather be harmful to plants.
A meal without wine is like a day without sunshine.|A meal without wine be like a day without sunshine.
A new building is being built in front of my house.|A new building be being built in front of my house.
A puppet does not know that it is being controlled.|A puppet do not know that it is being controlled.
A room without books is like a body without a soul.|A room without books be like a body without a soul.
A sentence doesn't have to be long to be beautiful.|A sentence don't have to be long to be beautiful.
Accidents will happen when they are least expected.|Accidents will happen when they be least expected.
According to our teacher, she entered the hospital.|According to our teacher, she enter the hospital.
After he heard the news, Tom was in seventh heaven.|After he heard the news, Tom be in seventh heaven.
Agriculture is an important industry in California.|Agriculture be an important industry in California.
All the cherry trees in the park are in full bloom.|All the cherry trees in the park be in full bloom.
Approximately 300 houses were built here last year.|Approximately 300 houses be built here last year.
Are you seriously thinking about becoming involved?|Are you seriously think about becoming involved?
Are you seriously thinking about driving all night?|Are you seriously think about driving all night?
Are you seriously thinking about getting a divorce?|Are you seriously think about getting a divorce?
Are you seriously thinking about quitting your job?|Are you seriously think about quitting your job?
As far as I know, he has never made such a mistake.|As far as I know, he have never made such a mistake.
As soon as I've finished doing that, I'll help you.|As soon as I've finish doing that, I'll help you.
As soon as he was left alone, he opened the letter.|As soon as he be left alone, he opened the letter.
As soon as she saw me, she greeted me with a smile.|As soon as she saw me, she greet me with a smile.
As soon as we got to the lake, we started swimming.|As soon as we get to the lake, we started swimming.
As usual, he was the last to arrive at the theater.|As usual, he be the last to arrive at the theater.
Being too nervous to reply, he stared at the floor.|Being too nervous to reply, he star at the floor.
Besides being an actress, she was a famous painter.|Besides be an actress, she was a famous painter.
By the time she gets there, it will be nearly dark.|By the time she get there, it will be nearly dark.
Can you jump over a chair from a standing position?|Can you jump over a chair from a stand position?
Can't you hear all the car horns honking behind us?|Can't you hear all the car horns honk behind us?
Can't you keep your dog from coming into my garden?|Can't you keep your dog from come into my garden?
Carbon monoxide poisoning can cause hallucinations.|Carbon monoxide poison can cause hallucinations.
China is about twenty-five times as large as Japan.|China be about twenty-five times as large as Japan.
Do not count your chickens before they are hatched.|Do not count your chickens before they be hatched.
Do what you can, with what you have, where you are.|Do what you can, with what you have, where you be.
Don't complicate the problem by raising new issues.|Don't complicate the problem by raise new issues.
Just keep doing what you were doing.|Just keep do what you were do.
Draw two concentric circles of differing diameters.|Draw two concentric circles of differ diameters.
During the war, people went through many hardships.|During the war, people go through many hardships.
Either stop talking or say something worth hearing.|Either stop talk or say something worth hearing.
Elephants are the largest land animals alive today.|Elephants be the largest land animals alive today.
Even if you are busy, you should keep your promise.|Even if you be busy, you should keep your promise.
Even though he was tired, he went on with his work.|Even though he be tired, he went on with his work.
Even though she was a heavy woman, she danced well.|Even though she be a heavy woman, she danced well.
Every time I went to his house, he was not at home.|Every time I go to his house, he was not at home.
Excuse me, does this train go to Washington Square?|Excuse me, do this train go to Washington Square?
For me, being a doctor isn't a job, it's a calling.|For me, be a doctor isn't a job, it's a calling.
For some reason the microphone didn't work earlier.|For some reason the microphone don't work earlier.
From our point of view, his proposal is reasonable.|From our point of view, hbe proposal be reasonable.
Generally speaking, boys like girls with long hair.|Generally speak, boys like girls with long hair.
Generally speaking, little girls are fond of dolls.|Generally speak, little girls are fond of dolls.
Gestures are very important in human communication.|Gestures be very important in human communication.
Had it not been for your help, I would have failed.|Had it not be for your help, I would have failed.
Have you given any more thought to what I told you?|Have you give any more thought to what I told you?
Have you read the leading article in today's paper?|Have you read the lead article in today's paper?
He asked me to return the money to him immediately.|He ask me to return the money to him immediately.
He became the company president when he was thirty.|He become the company president when he was thirty.
He came all the way to talk over a problem with me.|He come all the way to talk over a problem with me.
He can't chew well, because he has a toothache now.|He can't chew well, because he have a toothache now.
He confided in me things he would tell no one else.|He confide in me things he would tell no one else.
He confirmed that something was wrong with his car.|He confirm that something was wrong with his car.
He dedicated his whole life to helping poor people.|He dedicate his whole life to helping poor people.
He denounced all forms of dishonesty in government.|He denounce all forms of dishonesty in government.
He didn't answer the phone, so I sent him an email.|He don't answer the phone, so I sent him an email.
He didn't make public what he had discovered there.|He don't make public what he had discovered there.
He doesn't have the necessary skills for that task.|He don't have the necessary skills for that task.
He doesn't work here now, but he used to work here.|He don't work here now, but he used to work here.
He finally made a name for himself as a politician.|He finally make a name for himself as a politician.
He got up and left in the middle of the discussion.|He get up and left in the middle of the discussion.
He had led the Republican Party with great success.|He have led the Republican Party with great success.
He had little experience with international issues.|He have little experience with international issues.
He has given up smoking for the sake of his health.|He have given up smoking for the sake of his health.
He has no right to interfere in our family affairs.|He have no right to interfere in our family affairs.
He has only a superficial knowledge of the subject.|He have only a superficial knowledge of the subject.
He has squandered every opportunity I've given him.|He have squandered every opportunity I've given him.
He introduced me to his relatives at the reception.|He introduce me to his relatives at the reception.
He is a type of a person who calls a spade a spade.|He be a type of a person who calls a spade a spade.
He is acquainted with the modern history of France.|He be acquainted with the modern hbetory of France.
He is always dwelling on the pleasures of the past.|He be always dwelling on the pleasures of the past.
He is extremely pessimistic and has no aspirations.|He be extremely pessimbetic and has no aspirations.
He is going to stay with his uncle for the weekend.|He be going to stay with hbe uncle for the weekend.
He is in charge of entertaining the foreign guests.|He be in charge of entertaining the foreign guests.
He is not aggressive enough to succeed in business.|He be not aggressive enough to succeed in business.
He is proud that his father was a famous scientist.|He be proud that hbe father was a famous scientbet.
He kicked his shoes off without untying them first.|He kick his shoes off without untying them first.
He makes it a rule to write in his diary every day.|He make it a rule to write in his diary every day.
He postponed leaving for Hokkaido until next month.|He postpone leaving for Hokkaido until next month.
He refused our offer to arrange a press conference.|He refuse our offer to arrange a press conference.
He requested that I come here again this afternoon.|He request that I come here again this afternoon.
He went to see her in the hospital every other day.|He go to see her in the hospital every other day.
He wrote a book about his adventures in the jungle.|He write a book about his adventures in the jungle.
Her condition took a turn for the worse last night.|Her condition take a turn for the worse last night.
His car spun out of control going around the curve.|His car spun out of control go around the curve.
His fake moustache started to peel off on one side.|His fake moustache start to peel off on one side.
His income is now double what it was ten years ago.|Hbe income be now double what it was ten years ago.
His story was too ridiculous for anyone to believe.|His story be too ridiculous for anyone to believe.
How do you help someone who doesn't want your help?|How do you help someone who don't want your help?
How long has it been since you played with a yo-yo?|How long have it been since you played with a yo-yo?
How many hours a day does she spend in the kitchen?|How many hours a day do she spend in the kitchen?
How many letters are there in the English alphabet?|How many letters be there in the English alphabet?
How many people does it take to change a lightbulb?|How many people do it take to change a lightbulb?
Huge numbers of soldiers and civilians were killed.|Huge numbers of soldiers and civilians be killed.
I addressed the envelope containing the invitation.|I address the envelope containing the invitation.
I am sure I can get in touch with him by telephone.|I be sure I can get in touch with him by telephone.
I am surprised that your family has a Japanese car.|I be surprised that your fbeily has a Japanese car.
I am wondering if I could be of any service to you.|I be wondering if I could be of any service to you.
I appreciate your answering my enquiry so promptly.|I appreciate your answer my enquiry so promptly.
I can't believe that you actually got into Harvard.|I can't believe that you actually get into Harvard.
I can't believe that's what's really bothering Tom.|I can't believe that's what's really bother Tom.
I can't believe that's what's really troubling Tom.|I can't believe that's what's really trouble Tom.
I can't believe we've finally finished the project.|I can't believe we've finally finish the project.
I can't get over how different the weather is here.|I can't get over how different the weather be here.
